iphone se 9.3系统，国行，粉色，国行，三网通，,手机,999.00,3299.00,非全新,北京北京 顺义区,http://2.taobao.com/item.htm?id=593325649637
华为 HUAWEI P20 Pro,手机,1042.00,1042.00,非全新,山东德州 德城区,http://2.taobao.com/item.htm?id=593326481325
魅族手机自己用的魅蓝note5闲置低价出,手机,600.00,1299.00,非全新,新疆乌鲁木齐 天山区,http://2.taobao.com/item.htm?id=592648159038
三星S7美版全网通4G运行32G内存屏幕有小点480,手机,480.00,480.00,非全新,广东潮州 潮安区,http://2.taobao.com/item.htm?id=592648630877
oppo r17全新未拆封手机 r17 r15r11s,手机,1999.00,3498.00,全新,河北石家庄 长安区,http://2.taobao.com/item.htm?id=592648682431
华为畅享9s   麒麟710 处理器128G内存,手机,1500.00,1599.00,全新,广西桂林 灵川县,http://2.taobao.com/item.htm?id=592695806183
HTC U11eyes,手机,800.00,1999.00,非全新,吉林延边朝鲜族 延吉市,http://2.taobao.com/item.htm?id=592697113598
华为p30pro 珠光贝母,手机,5600.00,5800.00,全新,上海上海 浦东新区,http://2.taobao.com/item.htm?id=593819161515
iPhone x 国行256G,手机,4200.00,9488.00,非全新,江苏苏州 姑苏区,http://2.taobao.com/item.htm?id=593820663671
iPhone xr 国航128,手机,4300.00,5800.00,非全新,安徽滁州 定远县,http://2.taobao.com/item.htm?id=593820063885
OPPOr11s,手机,1100.00,2999.00,全新,黑龙江哈尔滨 呼兰区,http://2.taobao.com/item.htm?id=593821299663
小米9透明版8+256G的,手机,2900.00,3699.00,非全新,河南开封 龙亭区,http://2.taobao.com/item.htm?id=593827827570
华为Mate20X/6GB?128G,手机,3940.00,4600.00,全新,北京北京 朝阳区,http://2.taobao.com/item.htm?id=593787739185
全新华为旗舰P30Pro 8+128G现货官网价,手机,5488.00,5488.00,全新,北京北京 朝阳区,http://2.taobao.com/item.htm?id=593789615335
HTC M9et 32G,手机,388.00,1888.00,非全新,浙江温州 平阳县,http://2.taobao.com/item.htm?id=592929172245
手机 安卓,手机,310.00,3200.00,非全新,江苏苏州 太仓市,http://2.taobao.com/item.htm?id=592929829255
VIVOY91-3+32典雅黑全网通,手机,800.00,800.00,全新,浙江绍兴 诸暨市,http://2.taobao.com/item.htm?id=592934548218
全新正品小米9,手机,310.00,3299.00,全新,四川成都 青羊区,http://2.taobao.com/item.htm?id=592935527986
iPhoneXsmax/x/8/7p华为魅族小米&hellip;,手机,18.69,29.90,非全新,安徽合肥 瑶海区,http://2.taobao.com/item.htm?id=592297469513
三星 s6 edge   SM-G9250,手机,666.00,5800.00,非全新,江苏盐城 盐都区,http://2.taobao.com/item.htm?id=592251064723
小米4低价出,手机,195.00,235.00,非全新,福建南平 邵武市,http://2.taobao.com/item.htm?id=592297150067
荣耀20i新品上市,手机,1550.00,1550.00,全新,河南郑州 金水区,http://2.taobao.com/item.htm?id=592300854734
国行note9可换可卖,手机,2222.21,6999.00,非全新,吉林长春 二道区,http://2.taobao.com/item.htm?id=592303908297
华为mate20Pro 8+128,手机,4445.00,6500.00,非全新,河南洛阳 洛龙区,http://2.taobao.com/item.htm?id=593673768481
三星Note8 全网通 三星Note8,手机,718.00,1100.00,全新,北京北京 东城区,http://2.taobao.com/item.htm?id=593673917359
魅族Pro7高配版。128g非苹果，小米，华为。,手机,850.00,1999.00,非全新,广东深圳 龙岗区,http://2.taobao.com/item.htm?id=593674624990
HTC M9et 32G,手机,388.00,1888.00,非全新,浙江温州 平阳县,http://2.taobao.com/item.htm?id=592929172245
手机 安卓,手机,310.00,3200.00,非全新,江苏苏州 太仓市,http://2.taobao.com/item.htm?id=592929829255
VIVOY91-3+32典雅黑全网通,手机,800.00,800.00,全新,浙江绍兴 诸暨市,http://2.taobao.com/item.htm?id=592934548218
全新正品小米9,手机,310.00,3299.00,全新,四川成都 青羊区,http://2.taobao.com/item.htm?id=592935527986
OPPO新款4月19号开售,手机,2999.00,2999.00,全新,广东惠州 惠东县,http://2.taobao.com/item.htm?id=592060829937
OPPO,手机,1299.00,2700.00,全新,广东珠海 金湾区,http://2.taobao.com/item.htm?id=592082816184
【全新未拆】小米AI多亲QF9功能机移动联通4G备用学生手机,手机,249.00,299.00,全新,上海上海 黄浦区,http://2.taobao.com/item.htm?id=592086856021
全新未使用手机低价转,手机,1000.00,1800.00,非全新,河北唐山 丰润区,http://2.taobao.com/item.htm?id=592119618441
三星a8s,手机,1898.00,2598.00,全新,上海上海 崇明区,http://2.taobao.com/item.htm?id=592150561142
全新！升级版！Nakia105专为老人设置的老人手机！,手机,65.00,129.00,全新,四川成都 武侯区,http://2.taobao.com/item.htm?id=592151514493
国行iphone xs256g,手机,7000.00,10099.00,非全新,江苏常州 武进区,http://2.taobao.com/item.htm?id=594070910492
oppoR9m全网通450包邮出,手机,450.00,888.00,非全新,辽宁鞍山 铁西区,http://2.taobao.com/item.htm?id=594071527514
BlackBerry/黑莓9930电信4G三网键&hellip;,手机,138.90,211.61,非全新,江苏南京 六合区,http://2.taobao.com/item.htm?id=594073298426
oppo R17pro， 8+128全网未激活,手机,2899.00,3599.00,非全新,重庆重庆 南岸区,http://2.taobao.com/item.htm?id=594071898309
联想K30-T移动4G手机全新全套包装有点小旧清仓甩卖,手机,199.00,300.00,非全新,广东深圳 福田区,http://2.taobao.com/item.htm?id=594002855591
自用小米8  6+256黑色 自用小米8国行,手机,711.00,1100.00,全新,北京北京 西城区,http://2.taobao.com/item.htm?id=594004779550
国行iphone xs256g,手机,7000.00,10099.00,非全新,江苏常州 武进区,http://2.taobao.com/item.htm?id=594070910492
oppoR9m全网通450包邮出,手机,450.00,888.00,非全新,辽宁鞍山 铁西区,http://2.taobao.com/item.htm?id=594071527514
oppo R17pro， 8+128全网未激活,手机,2899.00,3599.00,非全新,重庆重庆 南岸区,http://2.taobao.com/item.htm?id=594071898309
BlackBerry/黑莓9930电信4G三网键&hellip;,手机,138.90,211.61,非全新,江苏南京 六合区,http://2.taobao.com/item.htm?id=594073298426
6+128，盒子配件，无线充都齐全！原装无锁99新小米mix,手机,2800.00,3333.00,非全新,广东深圳 盐田区,http://2.taobao.com/item.htm?id=591921609951
诺基亚直板功能机,手机,120.00,399.00,非全新,河南焦作 博爱县,http://2.taobao.com/item.htm?id=591952894002
苹果6手机国行玫瑰金32g原装正品,手机,899.00,2587.00,非全新,河北衡水 武邑县,http://2.taobao.com/item.htm?id=591954411101
荣耀7A 9.9成新 京东现价699,手机,499.00,700.00,非全新,浙江杭州 余杭区,http://2.taobao.com/item.htm?id=593731229676
vivoNEX全面屏手机6GB+128GB 星钻黑,手机,2598.00,3698.00,全新,广东广州 黄埔区,http://2.taobao.com/item.htm?id=593501522747
小米8 容量6+128 吊打mate20荣耀v20 小米mi,手机,1535.00,2999.00,非全新,上海上海 浦东新区,http://2.taobao.com/item.htm?id=593505006341
Apple/苹果 iPhone X 8X 全面屏&hellip;,手机,4500.00,6088.00,非全新,江苏常州 钟楼区,http://2.taobao.com/item.htm?id=591995283025
全新未拆封美图T9 仙野绿 128G,手机,2200.00,2999.00,全新,河北廊坊 大厂回族自治县,http://2.taobao.com/item.htm?id=592002300187
全新小米9，,手机,2799.00,3299.00,全新,云南昆明 嵩明县,http://2.taobao.com/item.htm?id=592002330867
OPPO新款4月19号开售,手机,2999.00,2999.00,全新,广东惠州 惠东县,http://2.taobao.com/item.htm?id=592060829937
OPPO,手机,1299.00,2700.00,全新,广东珠海 金湾区,http://2.taobao.com/item.htm?id=592082816184
【全新未拆】小米AI多亲QF9功能机移动联通4G备用学生手机,手机,249.00,299.00,全新,上海上海 黄浦区,http://2.taobao.com/item.htm?id=592086856021
手机,手机,1550.00,1550.00,非全新,广东惠州 惠东县,http://2.taobao.com/item.htm?id=593724452062
荣耀7A 9.9成新 京东现价699,手机,499.00,700.00,非全新,浙江杭州 余杭区,http://2.taobao.com/item.htm?id=593731229676
国行三网4g g9350三星s7edge双卡手机曲屏 黑色,手机,800.00,3888.00,非全新,江西南昌 东湖区,http://2.taobao.com/item.htm?id=593099025819
